horizon_s,alpha,test,calib,n_calib_units,floor_1_over_n_plus_1,feasible,threshold,alarm_rate,realised_miss_rate_rows,mean_unit_loss,units_with_loss_le_alpha,n_events_test,feasible_events,threshold_events,alarm_rate_events,realised_miss_rate_events,mean_unit_loss_events,unresolvable_event_share,unresolvable_event_share_calib
3.0,0.15,15 Sept (highway),10 Sept (urban arterial),15,0.0625,True,0.035,0.7873015873015873,0.06333333333333334,0.055227415318693206,0.8571428571428571,177,True,0.007,0.9156462585034013,0.0903954802259887,0.07261213819918273,0.0903954802259887,0.12152777777777778
3.0,0.2,15 Sept (highway),10 Sept (urban arterial),15,0.0625,True,0.05,0.7401360544217687,0.09333333333333334,0.08134009635023834,0.7857142857142857,177,True,0.042,0.7659863945578231,0.11299435028248588,0.09671331817080804,0.0903954802259887,0.12152777777777778
3.0,0.3,15 Sept (highway),10 Sept (urban arterial),15,0.0625,True,0.10400000000000001,0.600453514739229,0.17,0.13534536338795974,0.8571428571428571,177,True,0.108,0.5918367346938775,0.1751412429378531,0.13578355967019934,0.0903954802259887,0.12152777777777778
1.0,0.05,15 Sept (highway),12 Sept (urban loop),8,0.1111111111111111,False,-inf,1.0,0.0,0.0,1.0,177,False,-inf,,,,0.3446327683615819,0.46551724137931033
1.0,0.1,15 Sept (highway),12 Sept (urban loop),8,0.1111111111111111,False,-inf,1.0,0.0,0.0,1.0,177,False,-inf,,,,0.3446327683615819,0.46551724137931033
1.0,0.15,15 Sept (highway),12 Sept (urban loop),8,0.1111111111111111,True,0.006,0.7786848072562358,0.03571428571428571,0.03537414965986394,0.9285714285714286,177,False,-inf,,,,0.3446327683615819,0.46551724137931033
1.0,0.2,15 Sept (highway),12 Sept (urban loop),8,0.1111111111111111,True,0.022,0.5165532879818594,0.16964285714285715,0.1470433627996653,0.7142857142857143,177,False,-inf,,,,0.3446327683615819,0.46551724137931033
1.0,0.3,15 Sept (highway),12 Sept (urban loop),8,0.1111111111111111,True,0.044,0.3691609977324263,0.2767857142857143,0.230616792171414,0.6428571428571429,177,False,-inf,,,,0.3446327683615819,0.46551724137931033
3.0,0.05,15 Sept (highway),12 Sept (urban loop),8,0.1111111111111111,False,-inf,1.0,0.0,0.0,1.0,177,False,-inf,,,,0.0903954802259887,0.16666666666666666
3.0,0.1,15 Sept (highway),12 Sept (urban loop),8,0.1111111111111111,False,-inf,1.0,0.0,0.0,1.0,177,False,-inf,,,,0.0903954802259887,0.16666666666666666
3.0,0.15,15 Sept (highway),12 Sept (urban loop),8,0.1111111111111111,True,0.031,0.7804988662131519,0.043333333333333335,0.0520472152825094,0.8571428571428571,177,False,-inf,,,,0.0903954802259887,0.16666666666666666
