cap,did,lat,lon,serving_rsrp,speed_kmh
1,1,23.87919,90.40139,-94.0,41.0
1,1,23.87909,90.40139,-94.0,41.0
1,1,23.87899,90.4014,-84.0,40.0
1,1,23.87899,90.4014,-84.0,40.0
1,1,23.87889,90.4014,-80.0,40.0
1,2,23.87878,90.4014,-79.0,40.0
1,2,23.87868,90.4014,-79.0,40.0
1,2,23.87858,90.40139,-80.0,40.0
1,2,23.87848,90.40138,-79.0,39.0
1,2,23.87838,90.40137,-77.0,41.0
1,2,23.87828,90.40136,-77.0,40.0
1,2,23.87818,90.40134,-77.0,41.0
1,2,23.87808,90.40132,-76.0,41.0
1,2,23.87798,90.4013,-76.0,41.0
1,2,23.87788,90.40128,-79.0,39.0
1,2,23.87779,90.40126,-82.0,39.0
1,2,23.87769,90.40124,-83.0,39.0
1,2,23.87759,90.40121,-84.0,39.0
1,2,23.8775,90.40119,-87.0,38.0
1,2,23.8774,90.40117,-87.0,39.0
1,2,23.87731,90.40114,-90.0,40.0
1,2,23.87721,90.40112,-91.0,40.0
1,2,23.87711,90.4011,-92.0,41.0
1,2,23.87701,90.40108,-93.0,41.0
1,2,23.87691,90.40105,-93.0,42.0
1,2,23.8768,90.40103,-93.0,42.0
1,2,23.8767,90.401,-94.0,41.0
1,2,23.8766,90.40098,-93.0,41.0
1,2,23.8765,90.40095,-86.5,41.0
1,2,23.8764,90.40093,-80.0,42.0
1,2,23.87619,90.40088,-79.0,43.0
1,2,23.87608,90.40085,-79.0,42.0
1,2,23.87608,90.40085,-79.0,42.0
1,2,23.87598,90.40082,-84.0,42.0
1,2,23.87588,90.4008,-89.0,43.0
1,2,23.87566,90.40076,-65.0,44.0
1,2,23.87566,90.40076,-72.0,45.0
1,2,23.87554,90.40074,-78.0,45.0
1,2,23.87543,90.40072,-95.0,45.0
1,2,23.8752,90.40068,-97.0,46.0
1,2,23.87509,90.40067,-88.0,45.0
1,2,23.87497,90.40066,-92.0,46.0
1,2,23.87486,90.40065,-100.0,45.0
1,2,23.87475,90.40065,-101.0,45.0
1,2,23.87463,90.40065,-101.0,45.0
1,2,23.87463,90.40065,-94.0,46.0
1,2,23.87452,90.40065,-102.0,45.0
1,2,23.8744,90.40065,-108.0,44.0
1,2,23.87419,90.40065,-71.0,42.0
1,2,23.87408,90.40065,-75.0,42.0
1,2,23.87408,90.40065,-74.0,42.0
1,2,23.87386,90.40065,-74.0,43.0
1,2,23.87376,90.40064,-80.0,42.0
1,2,23.87365,90.40064,-78.5,42.0
1,2,23.87355,90.40063,-77.0,41.0
1,2,23.87344,90.40062,-74.0,41.0
1,2,23.87334,90.40062,-74.5,41.0
1,2,23.87323,90.40062,-75.0,40.0
1,2,23.87313,90.40061,-81.0,40.0
1,2,23.87313,90.40061,-74.0,40.0
1,2,23.87303,90.40061,-84.0,42.0
1,2,23.87293,90.40061,-95.0,39.0
1,2,23.87284,90.40061,-98.0,36.0
1,2,23.87275,90.40061,-100.0,35.0
1,2,23.87266,90.40062,-101.0,36.0
1,2,23.87248,90.40061,-100.0,36.0
1,2,23.87248,90.40061,-105.0,34.0
1,2,23.8724,90.40061,-108.0,34.0
1,2,23.87231,90.40061,-111.0,32.0
1,2,23.87223,90.40061,-107.0,32.0
1,2,23.87215,90.40062,-106.0,34.0
1,2,23.87207,90.40062,-106.0,34.0
1,2,23.87198,90.40062,-109.0,34.0
1,2,23.8719,90.40062,-108.0,35.0
1,2,23.87181,90.40062,-108.0,36.0
1,2,23.87172,90.40062,-107.0,36.0
1,2,23.87163,90.40062,-106.0,35.0
1,2,23.87154,90.40062,-101.0,33.0
1,2,23.87137,90.40061,-101.0,33.0
1,2,23.87129,90.40061,-99.5,33.0
1,2,23.8712,90.40061,-98.0,35.0
1,2,23.87111,90.40061,-100.0,36.0
1,2,23.87103,90.4006,-98.0,35.0
1,2,23.87103,90.4006,-97.5,32.0
1,2,23.87088,90.4006,-97.0,28.0
1,2,23.87082,90.40059,-97.0,25.0
1,2,23.87076,90.40059,-96.0,22.0
1,2,23.87076,90.40059,-95.0,21.0
1,2,23.87067,90.40058,-95.0,16.0
1,2,23.87067,90.40058,-93.5,18.0
1,2,23.8706,90.4006,-92.0,15.0
1,2,23.87058,90.4006,-91.0,10.0
1,2,23.87056,90.40061,-93.0,5.0
1,2,23.87054,90.40061,-96.0,4.0
1,2,23.87053,90.40062,-94.0,2.0
1,2,23.87052,90.40063,-90.0,1.0
1,2,23.87051,90.40064,-89.0,1.0
1,2,23.8705,90.40065,-91.0,1.0
1,2,23.8705,90.40066,-92.0,1.0
1,2,23.87049,90.40067,-92.0,1.0
1,2,23.87049,90.40067,-91.0,0.0
1,2,23.87049,90.40068,-91.0,0.0
