variant,model,horizon_s,fold,seed,n,positive_rate,auprc,auprc_lift,auroc,brier,ece
+ self-excitation,multi-head MLP,5.0,1,1337,1552,0.3125,0.6436648720017144,2.059727590405486,0.7752847853602451,0.1926175640556915,0.14873413093854956
+ self-excitation,hazard MLP,0.5,1,1337,1587,0.05040957781978576,0.5537535357899762,10.985085766233654,0.9024137358991373,0.03274312475637397,0.028410373521455222
+ self-excitation,hazard MLP,1.0,1,1337,1587,0.08380592312539382,0.6758845994023155,8.064878640988532,0.8914945548189595,0.042121126555407,0.029620361883536013
+ self-excitation,hazard MLP,2.0,1,1337,1579,0.15452818239392022,0.5897247676028982,3.8162926559220334,0.8131239638975869,0.09760046062880989,0.0675331616142656
+ self-excitation,hazard MLP,3.0,1,1337,1571,0.21578612348822407,0.5867687242352083,2.7192143533141953,0.7773412059916485,0.14867084646136758,0.11720347558673129
+ self-excitation,hazard MLP,5.0,1,1337,1552,0.3125,0.6307596107997682,2.018430754559258,0.7498217374080909,0.20622681086450376,0.16575559991225844
rf+mobility+history,multi-head LGBM,0.5,2,1337,1680,0.033928571428571426,0.44877377819104197,13.227016620367554,0.9306460853303932,0.025151184316710682,0.021118779333942076
rf+mobility+history,multi-head LGBM,1.0,2,1337,1680,0.05773809523809524,0.79570333000413,13.781253550586992,0.9413615020416669,0.02131423615441779,0.020329416258948532
rf+mobility+history,multi-head LGBM,2.0,2,1337,1671,0.10831837223219629,0.6060073725695131,5.594686848417991,0.8485817049204643,0.06939957721636716,0.05532346109099694
rf+mobility+history,multi-head LGBM,3.0,2,1337,1661,0.15111378687537627,0.5551855730177158,3.6739571186550832,0.8091463931508011,0.11578103418154487,0.09347161729821299
rf+mobility+history,multi-head LGBM,5.0,2,1337,1642,0.23142509135200975,0.5355151689495725,2.313989230039995,0.7732254566686129,0.18501564116381553,0.1524580030783688
rf+mobility+history,multi-head LGBM + isotonic,0.5,2,1337,1680,0.033928571428571426,0.4049167746028726,11.93438914618993,0.9313000616142945,0.022532828777104486,0.004819040210772942
rf+mobility+history,multi-head LGBM + isotonic,1.0,2,1337,1680,0.05773809523809524,0.7457141916117629,12.915462287708882,0.9374637742509003,0.021538353910616335,0.0127570116190783
rf+mobility+history,multi-head LGBM + isotonic,2.0,2,1337,1671,0.10831837223219629,0.5702044022715956,5.264152244175891,0.8436593867032518,0.06415751372764063,0.03436639601948345
rf+mobility+history,multi-head LGBM + isotonic,3.0,2,1337,1661,0.15111378687537627,0.5140259051818408,3.401581786880628,0.8073465005227318,0.0997268196771245,0.055888560176874144
rf+mobility+history,multi-head LGBM + isotonic,5.0,2,1337,1642,0.23142509135200975,0.5029516470400532,2.173280537999388,0.7712653265493369,0.1535534847872295,0.07489313955047457
rf+mobility+history,multi-head LGBM + isotonic + monotone,0.5,2,1337,1680,0.033928571428571426,0.44511338756694974,13.119131423025888,0.9350725859627504,0.022047563087319783,0.009844630525168187
rf+mobility+history,multi-head LGBM + isotonic + monotone,1.0,2,1337,1680,0.05773809523809524,0.7559285430984148,13.092370643353988,0.9365520250600777,0.021707371540724454,0.012019904706556298
rf+mobility+history,multi-head LGBM + isotonic + monotone,2.0,2,1337,1671,0.10831837223219629,0.5778449065299851,5.334689717191188,0.8486781119062627,0.06399581044690224,0.03620453709767873
rf+mobility+history,multi-head LGBM + isotonic + monotone,3.0,2,1337,1661,0.15111378687537627,0.5366562996757117,3.5513390986508253,0.8102752112118902,0.09810888066839946,0.05643202478393363
rf+mobility+history,multi-head LGBM + isotonic + monotone,5.0,2,1337,1642,0.23142509135200975,0.5281097783273291,2.2819901474038797,0.7731733255484194,0.15266830734057243,0.08290804414413767
rf+mobility+history,hazard LGBM,0.5,2,1337,1680,0.033928571428571426,0.41599098632901693,12.260786965486815,0.9457469922495703,0.023786793065094753,0.015555269444070633
rf+mobility+history,hazard LGBM,1.0,2,1337,1680,0.05773809523809524,0.7208511590518778,12.484844816568604,0.9335595339659136,0.024342091734911756,0.013235725779882244
rf+mobility+history,hazard LGBM,2.0,2,1337,1671,0.10831837223219629,0.5694078599082933,5.256798529871593,0.8514553746894583,0.06887612570102933,0.04398295143355517
rf+mobility+history,hazard LGBM,3.0,2,1337,1661,0.15111378687537627,0.5307611043508818,3.5123274674375087,0.8072617332090078,0.11176887649402195,0.08043332977279648
rf+mobility+history,hazard LGBM,5.0,2,1337,1642,0.23142509135200975,0.5394698719475043,2.331077709836321,0.7725352406372509,0.17617885897360486,0.12388645932001954
rf+mobility+history,multi-head MLP,0.5,2,1337,1680,0.033928571428571426,0.32406326541998026,9.551338349220472,0.9075245105987395,0.02945270587840411,0.022031944392468267
rf+mobility+history,multi-head MLP,1.0,2,1337,1680,0.05773809523809524,0.7342283303987216,12.71653190793662,0.9246634668611732,0.030079721623564728,0.023853820000052057
rf+mobility+history,multi-head MLP,2.0,2,1337,1671,0.10831837223219629,0.5385299591882263,4.971732385654841,0.8217805628684787,0.08277993026690533,0.06174734750967876
rf+mobility+history,multi-head MLP,3.0,2,1337,1661,0.15111378687537627,0.5096514353100441,3.372633601792762,0.7681274900398407,0.13001100560562545,0.10119848495658719
rf+mobility+history,multi-head MLP,5.0,2,1337,1642,0.23142509135200975,0.5007099325019031,2.1635939714950654,0.7254274751855867,0.206798414607673,0.16984113581991225
rf+mobility+history,hazard MLP,0.5,2,1337,1680,0.033928571428571426,0.3509290903608976,10.34317318958435,0.9172422738917534,0.02814984186751931,0.021946278804492455
rf+mobility+history,hazard MLP,1.0,2,1337,1680,0.05773809523809524,0.5512759903632422,9.547872822786049,0.9054060214521559,0.037227814626018506,0.020120274503319577
rf+mobility+history,hazard MLP,2.0,2,1337,1671,0.10831837223219629,0.45184365663322573,4.171440609028289,0.8095331677110758,0.08459450727883544,0.058344709900442056
rf+mobility+history,hazard MLP,3.0,2,1337,1661,0.15111378687537627,0.4187718583350839,2.7712352856357545,0.759034782854398,0.13505449020713817,0.10547109263792133
rf+mobility+history,hazard MLP,5.0,2,1337,1642,0.23142509135200975,0.46003139350024247,1.987819863493153,0.7192030194344816,0.19963634720635293,0.1602545172228166
+ self-excitation,multi-head LGBM,0.5,2,1337,1680,0.033928571428571426,0.4360165267355803,12.851013419574999,0.933283609516706,0.025509649790576776,0.020929169706291533
+ self-excitation,multi-head LGBM,1.0,2,1337,1680,0.05773809523809524,0.7918381112824092,13.714309556231417,0.9361905816308588,0.021530045698075005,0.01927808562002386
